doc_number,document_id,title,authors,organization,venue,year,document_type,pdf_path,doi_or_url,pdf_url,source_api,external_id,total_pages,topics,countries,regions,sectors,climate_risks,technologies,policies,targets,indicators,abstract
D001,cuzzolin_2023_reasoning_random_sets_agenda_future_2401_09435v1,Reasoning with random sets: An agenda for the future,Fabio Cuzzolin,arXiv,arXiv,2023,Research Paper,data/pdfs/cuzzolin_2023_reasoning_random_sets_agenda_future_2401_09435v1.pdf,http://arxiv.org/abs/2401.09435v1,https://arxiv.org/pdf/2401.09435v1.pdf,arXiv,2401.09435v1,94,climate AI; policy and governance,,Europe,,,machine learning,Nationally Determined Contributions,,,"In this paper, we discuss a potential agenda for future work in the theory of random sets and belief functions, touching upon a number of focal issues: the development of a fully-fledged theory of statistical reasoning with random sets, including the generalisation of logistic regression and of the classical laws of probability; the further development of the geometric approach to uncertainty, to include general random sets, a wider range of uncertainty measures and alternative geometric representations; the application of this new theory to high-impact areas such as climate change, machine learning and statistical learning theory."
D002,staffell_2018_role_hydrogen_fuel_cells_global_energy_system_w2905218447,The role of hydrogen and fuel cells in the global energy system,Iain Staffell; Daniel Scamman; Anthony Velazquez Abad; Paul Balcombe; Paul E. Dodds; Paul Ekins; Nilay Shah; Kate R. Ward,Energy & Environmental Science,Energy & Environmental Science,2018,Journal Article,data/pdfs/staffell_2018_role_hydrogen_fuel_cells_global_energy_system_w2905218447.pdf,https://doi.org/10.1039/c8ee01157e,https://pubs.rsc.org/en/content/articlepdf/2019/ee/c8ee01157e,OpenAlex,W2905218447,29,carbon capture; climate science; energy transition; mitigation; policy and governance; renewable energy,Global; United States,Europe; Global,buildings; energy; industry; infrastructure; transport,emissions,battery storage; carbon capture; electric vehicles; green hydrogen; machine learning,Nationally Determined Contributions,,,
D003,friedlingstein_2020_global_carbon_budget_2020_w3093432062,Global Carbon Budget 2020,Pierre Friedlingstein; Michael O’Sullivan; Matthew W. Jones; Robbie M. Andrew; Judith Hauck; Are Olsen; Glen P. Peters; Wouter Peters; Julia Pongratz; Stephen Sitch; Corinne Le Quéré; Josep G. Canadell; Philippe Ciais; Robert B. Jackson; Simone R. Alin; Luiz E. O. C. Aragão; Almut Arneth; Vivek Arora; Nicholas R. Bates; Meike Becker; Alice Benoit-Cattin; Henry C. Bittig; Laurent Bopp; Selma Bultan; Naveen Chandra; Frédéric Chevallier; Louise Chini; Wiley Evans; Liesbeth Florentie; Piers Forster; Thomas Gasser; Marion Gehlen; Dennis Gilfillan; Thanos Gkritzalis; Luke Gregor; Nicolas Gruber; Ian Harris; Kerstin Hartung; Vanessa Haverd; R. A. Houghton; Tatiana Ilyina; Atul K. Jain; Émilie Joetzjer; Koji Kadono; Etsushi Kato; Vassilis Kitidis; Jan Ivar Korsbakken; Peter Landschützer; Nathalie Lefèvre; Andrew Lenton; Sebastian Lienert; Zhu Liu; Danica Lombardozzi; Gregg Marland; Nicolas Metzl; David R. Munro; Julia E. M. S. Nabel; Shin‐Ichiro Nakaoka; Yosuke Niwa; Kevin O’Brien; Tsuneo Ono; Paul I. Palmer; Denis Pierrot; Benjamin Poulter; Laure Resplandy; Eddy Robertson; Christian Rödenbeck; Jörg Schwinger; Roland Séférian; Ingunn Skjelvan; Adam J. P. Smith; Adrienne J. Sutton; Toste Tanhua; Pieter P. Tans; Hanqin Tian; Bronte Tilbrook; Guido R. van der Werf; Nicolas Vuichard; Anthony P. Walker; Rik Wanninkhof; Andrew Watson; David Willis; A. Wiltshire; Wenping Yuan; Xu Yue; Sönke Zaehle,Earth system science data,Earth system science data,2020,Journal Article,data/pdfs/friedlingstein_2020_global_carbon_budget_2020_w3093432062.pdf,https://doi.org/10.5194/essd-12-3269-2020,https://essd.copernicus.org/articles/12/3269/2020/essd-12-3269-2020.pdf,OpenAlex,W3093432062,72,,China; Germany; Global; United States,Europe; Global,energy; water,,machine learning,Nationally Determined Contributions,,,
D004,friedlingstein_2022_global_carbon_budget_2022_w4308697725,Global Carbon Budget 2022,Pierre Friedlingstein; Michael O’Sullivan; Matthew W. Jones; Robbie M. Andrew; Luke Gregor; Judith Hauck; Corinne Le Quéré; Ingrid T. Luijkx; Are Olsen; Glen P. Peters; Wouter Peters; Julia Pongratz; Clemens Schwingshackl; Stephen Sitch; Josep G. Canadell; Philippe Ciais; Robert B. Jackson; Simone R. Alin; Ramdane Alkama; Almut Arneth; Vivek Arora; Nicholas R. Bates; Meike Becker; Nicolas Bellouin; Henry C. Bittig; Laurent Bopp; Frédéric Chevallier; Louise Chini; Margot Cronin; Wiley Evans; Stefanie Falk; Richard A. Feely; Thomas Gasser; Marion Gehlen; Thanos Gkritzalis; Lucas Gloege; Giacomo Grassi; Nicolas Gruber; Özgür Gürses; Ian Harris; Matthew Hefner; R. A. Houghton; G. C. Hurtt; Yosuke Iida; Tatiana Ilyina; Atul K. Jain; Annika Jersild; Koji Kadono; Etsushi Kato; Daniel Kennedy; Kees Klein Goldewijk; Jürgen Knauer; Jan Ivar Korsbakken; Peter Landschützer; Nathalie Lefèvre; Keith Lindsay; Junjie Liu; Zhu Liu; Gregg Marland; Nicolas Mayot; Matthew J. McGrath; Nicolas Metzl; Natalie Monacci; David R. Munro; Shin‐Ichiro Nakaoka; Yosuke Niwa; Kevin O’Brien; Tsuneo Ono; Paul I. Palmer; Naiqing Pan; Denis Pierrot; Katie Pocock; Benjamin Poulter; Laure Resplandy; Eddy Robertson; Christian Rödenbeck; Carmen Dolores Arbelo Rodríguez; Thais M. Rosan; Jörg Schwinger; Roland Séférian; Jamie D. Shutler; Ingunn Skjelvan; Tobias Steinhoff; Qing Sun; Adrienne J. Sutton; Colm Sweeney; Shintaro Takao; Toste Tanhua; Pieter P. Tans; Xiangjun Tian; Hanqin Tian; Bronte Tilbrook; Hiroyuki Tsujino; Francesco N. Tubiello; Guido R. van der Werf; Anthony P. Walker; Rik Wanninkhof; Chris Whitehead; Anna Willstrand Wranne; Rebecca Wright,Earth system science data,Earth system science data,2022,Journal Article,data/pdfs/friedlingstein_2022_global_carbon_budget_2022_w4308697725.pdf,https://doi.org/10.5194/essd-14-4811-2022,https://essd.copernicus.org/articles/14/4811/2022/essd-14-4811-2022.pdf,OpenAlex,W4308697725,90,climate science,China; Germany; Global; United States,Europe; Global,energy,,machine learning,Nationally Determined Contributions,,,
D005,bl_schl_2019_changing_climate_both_increases_decreases_european_river_floods_w2970830005,Changing climate both increases and decreases European river floods,Günter Blöschl; Julia Hall; Alberto Viglione; Rui A. P. Perdigão; Juraj Párajka; Bruno Merz; David Lun; Berit Arheimer; Giuseppe Tito Aronica; Ardian Bilibashi; Miloň Boháč; Ognjen Bonacci; Marco Borga; Ivan Čanjevac; Attilio Castellarin; Giovanni Battista Chirico; Pierluigi Claps; Н. Л. Фролова; Daniele Ganora; Liudmyla Gorbachova; Ali Gül; Jamie Hannaford; Shaun Harrigan; Maria Kireeva; Andrea Kiss; Thomas Kjeldsen; Silvia Kohnová; Jarkko Koskela; Ondřej Ledvinka; Neil Macdonald; Maria Mavrova-Guirguinova; Luis Mediero; Ralf Merz; Péter Molnár; Alberto Montanari; Conor Murphy; Marzena Osuch; Valeriya Ovcharuk; Иван Радевски; José Luis Salinas; Éric Sauquet; Mojca Šraj; Ján Szolgay; Elena Volpi; Donna Wilson; Klodian Zaımı; Nenad Živković,Nature,Nature,2019,Journal Article,data/pdfs/bl_schl_2019_changing_climate_both_increases_decreases_european_river_floods_w2970830005.pdf,https://doi.org/10.1038/s41586-019-1495-6,https://purehost.bath.ac.uk/ws/files/196563679/Nature_Floods_Revision_4au.pdf,OpenAlex,W2970830005,24,policy and governance; renewable energy,Germany,Europe,agriculture; energy; infrastructure; water,flooding,electric vehicles,,,,
D006,ross_2019_designing_materials_electrochemical_carbon_dioxide_recycling_w2954959763,Designing materials for electrochemical carbon dioxide recycling,Michael B. Ross; Phil De Luna; Yifan Li; Cao‐Thang Dinh; Dohyung Kim; Peidong Yang; Edward H. Sargent,Nature Catalysis,Nature Catalysis,2019,Journal Article,data/pdfs/ross_2019_designing_materials_electrochemical_carbon_dioxide_recycling_w2954959763.pdf,https://doi.org/10.1038/s41929-019-0306-7,https://utoronto.scholaris.ca/bitstreams/9e2f6ba1-b9bd-4113-97cc-7d7e6552ece5/download,OpenAlex,W2954959763,47,,,,,emissions,,,,,
D007,christensen_2021_mandatory_csr_sustainability_reporting_economic_literature_review_w3159759907,Mandatory CSR and sustainability reporting: economic analysis and literature review,Hans Bonde Christensen; Luzi Hail; Christian Leuz,Review of Accounting Studies,Review of Accounting Studies,2021,Journal Article,data/pdfs/christensen_2021_mandatory_csr_sustainability_reporting_economic_literature_review_w3159759907.pdf,https://doi.org/10.1007/s11142-021-09609-5,https://link.springer.com/content/pdf/10.1007/s11142-021-09609-5.pdf,OpenAlex,W3159759907,73,climate finance; policy and governance; sustainability,Global; United States,Europe; Global,finance; health; industry; water,emissions,,,,climate finance,
D008,ivanov_2020_viable_supply_chain_integrating_agility_resilience_sustainability_perspectives_w3026347338,"Viable supply chain model: integrating agility, resilience and sustainability perspectives—lessons from and thinking beyond the COVID-19 pandemic",Dmitry Ivanov,Annals of Operations Research,Annals of Operations Research,2020,Journal Article,data/pdfs/ivanov_2020_viable_supply_chain_integrating_agility_resilience_sustainability_perspectives_w3026347338.pdf,https://doi.org/10.1007/s10479-020-03640-6,https://link.springer.com/content/pdf/10.1007/s10479-020-03640-6.pdf,OpenAlex,W3026347338,21,adaptation; sustainability,Germany; Global; Oman,Europe; Global,industry,,electric vehicles,Nationally Determined Contributions,,,
D009,gr_bler_2018_low_energy_demand_scenario_meeting_1_5_c_w2800190939,A low energy demand scenario for meeting the 1.5 °C target and sustainable development goals without negative emission technologies,Arnulf Grübler; Charlie Wilson; Nuno Bento; Benigna Boza‐Kiss; Volker Krey; David McCollum; Narasimha D. Rao; Keywan Riahi; Joeri Rogelj; Simon De Stercke; Jonathan M. Cullen; Stefan Frank; Oliver Fricko; Fei Guo; Matt Gidden; Peter Havlík; Daniel Huppmann; Gregor Kiesewetter; Peter Rafaj; W. Schoepp; Hugo Valin,Nature Energy,Nature Energy,2018,Journal Article,data/pdfs/gr_bler_2018_low_energy_demand_scenario_meeting_1_5_c_w2800190939.pdf,https://doi.org/10.1038/s41560-018-0172-6,http://pure.iiasa.ac.at/id/eprint/15301/2/LED_SI_REVISED_NoTrack_Submit.pdf,OpenAlex,W2800190939,121,mitigation; sustainability,Global,Global,agriculture; buildings; energy; industry; transport,emissions,,,Limit Warming to 1.5C; Reduce Emissions,energy efficiency,
D010,hassani_2021_global_predictions_primary_soil_salinization_under_changing_climate_w3212566395,Global predictions of primary soil salinization under changing climate in the 21st century,Amirhossein Hassani; Adisa Azapagic; Nima Shokri,Nature Communications,Nature Communications,2021,Journal Article,data/pdfs/hassani_2021_global_predictions_primary_soil_salinization_under_changing_climate_w3212566395.pdf,https://doi.org/10.1038/s41467-021-26907-3,https://www.nature.com/articles/s41467-021-26907-3.pdf,OpenAlex,W3212566395,17,climate science; policy and governance; renewable energy,Germany; Global; United States,Africa; Europe; Global,agriculture; health; transport; water,drought; flooding,forecasting,,,sea level; temperature rise,
