trial_number,k,metric,svd_dim,normalization,hybrid_weight,recall_at_5,ndcg_at_5,mrr,p95_latency_ms,objective
0,10,cosine,50,none,0.18182496720710062,0.6785714285714286,0.5217789094852746,0.49173391578853765,599.4355799979528,0.3917039766291553
1,15,euclidean,300,zscore,0.046450412719997725,0.4642857142857143,0.3374173235820376,0.3506135398992542,770.3196250018664,0.068328939652533
2,20,cosine,100,zscore,0.2587799816000169,0.47619047619047616,0.3497027717190933,0.34815893815299814,599.2302249767815,0.16913527827832153
3,5,euclidean,50,minmax,0.32533033076326434,0.7261904761904762,0.5896175489979251,0.5476662887377173,618.472540026414,0.46192889803233717
4,15,euclidean,200,zscore,0.7068573438476171,0.6785714285714286,0.5328368747428694,0.5119074482326362,665.9968700259922,0.36948129687273046
5,10,euclidean,50,zscore,0.4722149251619493,0.6666666666666666,0.554087004480824,0.5404502078609223,618.5971300437811,0.4114551061256001
6,15,cosine,50,none,0.907566473926093,0.7023809523809523,0.5855550682884755,0.5689604377104377,599.475299977348,0.46141265639503953
7,15,euclidean,50,zscore,0.5393422419156507,0.6547619047619048,0.541660531256552,0.531947153375725,618.5473050049038,0.39607735494457624
8,10,manhattan,50,zscore,0.9429097039125192,0.7023809523809523,0.5643412082444763,0.5374338624338625,620.1563400187295,0.42985827633034973
9,15,cosine,50,none,0.27864646423661144,0.6666666666666666,0.5423085155459353,0.5279220779220779,599.4465649739138,0.409251899725645
10,5,manhattan,300,minmax,0.47961850963456437,0.75,0.5237671106680962,0.4687405517762661,673.7183800403725,0.37440792064790995
11,5,cosine,100,minmax,0.9957518566053927,0.7261904761904762,0.5981932386651999,0.5610402494331066,599.184974998934,0.480148370213352
12,5,euclidean,100,minmax,0.7385426854834092,0.7142857142857143,0.5696800072787548,0.5290958049886622,627.115385001525,0.43469374334942085
13,5,cosine,100,minmax,0.37881428431166597,0.5,0.284634896349851,0.2555791761148904,599.1500049975,0.11005989385110099
14,5,manhattan,200,minmax,0.7011625953937599,0.7142857142857143,0.5613501061293147,0.5215986394557823,665.0397249788509,0.40740167221131784
15,5,cosine,100,minmax,0.006390007091644001,0.5,0.2802412029399874,0.24962679516250946,599.1824499535139,0.10564997796323045
16,20,euclidean,100,minmax,0.60650095362027,0.6666666666666666,0.5425414112317439,0.5306441186487771,627.1927200112257,0.3956117178927977
17,5,cosine,300,minmax,0.8308401043118654,0.7738095238095238,0.6115583710978738,0.5736394557823129,600.2282750501761,0.5048966145251668
18,5,cosine,300,minmax,0.8204722531866918,0.7738095238095238,0.6115583710978738,0.5736394557823129,600.2586250338934,0.5048814395333081
19,5,cosine,300,minmax,0.8414414830882921,0.7738095238095238,0.6115583710978738,0.5736394557823129,600.2744150551732,0.5048735445226682
20,20,cosine,300,minmax,0.8152445172912974,0.7738095238095238,0.6330330908203068,0.6063885731291337,600.3091750375459,0.5263308842539147
21,20,cosine,300,minmax,0.8175960223564197,0.7738095238095238,0.6330330908203068,0.6063885731291337,600.3120100882368,0.5263294667285694
22,20,cosine,300,minmax,0.8089921252630837,0.7738095238095238,0.6306491242072346,0.6034123826529433,600.3138150728771,0.523944597623177
23,20,cosine,300,minmax,0.6274198266149676,0.75,0.6209873038283287,0.601626668367229,600.340280056116,0.5083171638002707
24,20,cosine,300,minmax,0.7674817292449504,0.7619047619047619,0.6270807098679259,0.6044044461450069,600.3320850664747,0.517390857810879
25,20,cosine,300,none,0.8990828874594378,0.7023809523809523,0.5915074492408564,0.5843619720846756,600.2371850685447,0.46698409480182207
26,20,manhattan,300,minmax,0.6367416448872887,0.4523809523809524,0.3505984038116284,0.3707869055615219,673.7534000159937,0.1268169418988696
27,20,cosine,300,minmax,0.9805525828910959,0.7619047619047619,0.6241750319353435,0.6015223084414405,600.2605600631794,0.5145209423799443
28,20,cosine,200,minmax,0.7909690565353849,0.6428571428571429,0.4633476770891093,0.43704840774693715,599.986360009643,0.3240687827985735
29,20,cosine,300,none,0.8690193908638018,0.7023809523809523,0.5915074492408564,0.5847021081390972,600.2368650661081,0.4669842548030404
